frame,det_idx,x1,y1,x2,y2,cx,cy,conf
35,0,1604.0,659.2,1638.0,706.8,1621.0,683.0,0.837
35,1,862.7,438.7,929.0,522.1,895.9,480.4,0.836
35,2,957.4,560.7,967.6,576.4,962.5,568.6,0.399
36,0,855.9,439.0,923.2,524.8,889.5,481.9,0.877
36,1,1603.6,658.5,1637.6,706.5,1620.6,682.5,0.838
36,2,956.4,560.4,966.8,576.1,961.6,568.2,0.421
36,3,956.3,556.0,967.7,576.3,962.0,566.2,0.247
36,4,713.4,471.4,764.2,554.4,738.8,512.9,0.130
37,0,846.7,441.1,913.9,528.3,880.3,484.7,0.885
37,1,1603.1,659.4,1636.8,707.0,1620.0,683.2,0.744
37,2,954.8,559.8,966.3,577.2,960.5,568.5,0.440
38,0,1603.0,660.9,1636.4,708.1,1619.7,684.5,0.743
38,1,835.7,445.7,901.8,535.7,868.7,490.7,0.634
38,2,953.5,556.1,968.0,579.0,960.7,567.5,0.514
38,3,712.9,474.2,768.5,558.8,740.7,516.5,0.126
39,0,1602.9,661.5,1636.3,708.5,1619.6,685.0,0.834
39,1,824.4,450.3,886.3,574.6,855.4,512.5,0.639
39,2,953.3,556.6,968.1,580.2,960.7,568.4,0.488
39,3,871.8,430.5,899.7,466.6,885.8,448.5,0.106
40,0,1602.9,661.8,1636.9,708.9,1619.9,685.3,0.829
40,1,814.1,454.3,870.5,546.8,842.3,500.6,0.646
40,2,953.1,557.6,967.8,580.2,960.4,568.9,0.584
40,3,859.2,414.0,886.6,461.7,872.9,437.9,0.152
41,0,1603.3,662.1,1638.0,709.5,1620.6,685.8,0.820
41,1,953.2,558.2,967.9,580.3,960.5,569.2,0.618
41,2,802.6,458.3,848.9,549.3,825.7,503.8,0.539
41,3,802.5,457.7,849.5,604.0,826.0,530.8,0.227
41,4,802.6,418.0,851.6,639.2,827.1,528.6,0.169
42,0,1603.5,661.8,1638.2,709.4,1620.8,685.6,0.852
42,1,791.0,457.7,821.8,549.3,806.4,503.5,0.729
42,2,953.2,557.9,968.4,579.3,960.8,568.6,0.574
42,3,713.1,469.6,793.6,564.5,753.4,517.0,0.136
43,0,1607.8,660.7,1641.1,709.0,1624.4,684.8,0.840
43,1,766.9,449.9,798.4,542.1,782.6,496.0,0.815
43,2,955.2,556.6,971.4,576.9,963.3,566.7,0.375
43,3,716.2,471.3,770.3,559.4,743.3,515.3,0.124
43,4,955.4,550.4,974.0,577.4,964.7,563.9,0.118
44,0,1610.8,659.3,1644.6,707.5,1627.7,683.4,0.778
44,1,725.6,446.5,784.5,544.5,755.0,495.5,0.682
44,2,958.7,554.0,974.4,574.8,966.5,564.4,0.629
44,3,792.3,369.7,821.3,420.4,806.8,395.1,0.182
45,0,1613.3,658.7,1647.3,707.1,1630.3,682.9,0.779
45,1,690.5,461.3,759.9,520.5,725.2,490.9,0.709
45,2,960.4,554.8,976.2,573.5,968.3,564.2,0.692
46,0,1614.6,658.7,1648.0,706.9,1631.3,682.8,0.824
46,1,962.1,555.7,976.8,572.7,969.5,564.2,0.668
46,2,673.4,505.0,751.3,552.8,712.4,528.9,0.532
46,3,673.4,502.6,754.8,569.4,714.1,536.0,0.152
47,0,1615.1,658.3,1648.6,707.0,1631.9,682.6,0.822
47,1,703.1,492.8,775.4,574.9,739.2,533.8,0.747
47,2,963.6,556.9,977.0,572.1,970.3,564.5,0.668
47,3,833.6,798.0,879.1,863.3,856.3,830.6,0.343
48,0,827.7,768.8,864.7,841.4,846.2,805.1,0.769
48,1,1614.7,661.6,1648.8,709.3,1631.7,685.4,0.666
48,2,783.8,411.2,828.5,499.5,806.2,455.4,0.654
48,3,964.4,559.2,978.2,575.9,971.3,567.6,0.645
48,4,722.9,473.6,773.9,554.8,748.4,514.2,0.148
48,5,723.1,473.0,792.5,559.4,757.8,516.2,0.116
49,0,812.3,315.2,859.0,405.0,835.6,360.1,0.797
49,1,963.2,564.4,976.2,581.0,969.7,572.7,0.701
49,2,1611.0,666.3,1645.9,714.4,1628.4,690.3,0.654
49,3,830.2,738.1,854.3,801.5,842.3,769.8,0.267
49,4,718.7,477.7,799.7,565.5,759.2,521.6,0.204
50,0,1609.9,667.2,1644.1,715.6,1627.0,691.4,0.833
50,1,837.6,353.4,898.0,450.0,867.8,401.7,0.832
50,2,961.9,568.6,975.4,586.1,968.7,577.4,0.671
50,3,843.4,717.5,883.4,777.2,863.4,747.3,0.334
50,4,844.1,717.9,871.0,776.0,857.6,746.9,0.222
51,0,1608.9,666.4,1643.9,714.8,1626.4,690.6,0.845
51,1,962.4,572.5,974.9,587.6,968.6,580.0,0.644
51,2,867.1,479.6,925.6,547.7,896.3,513.6,0.371
51,3,884.5,483.6,922.8,536.4,903.6,510.0,0.200
51,4,873.3,702.0,915.2,799.5,894.3,750.7,0.126
51,5,715.3,489.8,787.4,579.2,751.4,534.5,0.107
52,0,1609.0,664.2,1644.2,712.5,1626.6,688.3,0.798
52,1,962.9,571.7,975.1,586.6,969.0,579.1,0.602
52,2,892.7,555.9,934.8,606.2,913.7,581.1,0.256
53,0,1610.0,662.9,1644.9,710.6,1627.4,686.7,0.773
53,1,963.3,571.3,975.4,586.2,969.3,578.8,0.635
53,2,880.2,641.7,919.2,689.3,899.7,665.5,0.240
53,3,833.9,828.1,898.1,871.2,866.0,849.6,0.105
54,0,1611.0,663.0,1646.3,710.8,1628.6,686.9,0.705
54,1,963.8,568.6,975.8,585.4,969.8,577.0,0.654
54,2,862.6,653.2,905.9,721.5,884.3,687.4,0.546
54,3,990.6,634.5,1043.9,683.4,1017.2,659.0,0.404
55,0,964.3,568.6,976.5,584.8,970.4,576.7,0.642
55,1,1612.5,663.4,1648.1,712.3,1630.3,687.9,0.592
55,2,983.0,625.4,1036.3,663.0,1009.7,644.2,0.393
55,3,1617.0,674.9,1647.6,712.0,1632.3,693.5,0.259
